collectid,date
24,2022-06-29
25,2022-06-28
26,2022-06-28
428,2022-09-28
454,2022-10-11
429,2022-10-04
469,2022-10-12
439,2022-09-29
471,2022-10-12
388,2022-08-17
390,2022-08-16
365,2022-08-17
363,2022-08-17
361,2022-08-16
367,2022-08-18
371,2022-08-18
386,2022-08-18
369,2022-08-18
384,2022-08-18
400,2022-08-15
392,2022-08-16
360,2022-08-15
356,2022-08-15
393,2022-08-15
451,2022-10-18
470,2022-10-18
468,2022-10-18
450,2022-10-19
459,2022-10-19
464,2022-10-24
438,2022-10-25
458,2022-10-24
465,2022-10-24
433,2022-10-25
27,2022-07-05
28,2022-07-05
29,2022-07-06
30,2022-07-06
31,2022-07-06
32,2022-07-05
33,2022-07-27
34,2022-07-14
35,2022-07-26
36,2022-07-26
37,2022-07-26
38,2022-07-12
39,2022-07-07
40,2022-07-12
41,2022-07-06
42,2022-07-07
43,2022-07-13
44,2022-07-14
45,2022-07-14
46,2022-07-14
47,2022-07-14
48,2022-07-13
49,2022-07-13
50,2022-07-13
51,2022-07-12
52,2022-07-12
53,2022-07-27
342,2022-08-10
54,2022-07-27
344,2022-08-10
55,2022-07-27
343,2022-08-11
335,2022-08-11
339,2022-08-11
336,2022-08-11
422,2022-09-26
419,2022-09-23
401,2022-09-15
418,2022-09-20
423,2022-09-27
526,2022-11-17
523,2022-11-22
509,2022-11-24
522,2022-11-21
411,2022-09-07
414,2022-09-13
415,2022-09-08
410,2022-09-07
527,2022-11-03
502,2022-10-26
496,2022-11-02
500,2022-11-02
503,2022-10-26
490,2022-10-27
492,2022-11-01
493,2022-10-28
501,2022-11-01
534,2022-11-04
56,2022-06-27
57,2022-06-16
58,2022-06-27
59,2022-06-16
60,2022-06-16
61,2022-08-01
62,2022-07-25
63,2022-07-11
64,2022-07-25
65,2022-07-25
66,2022-06-15
67,2022-06-15
68,2022-06-15
69,2022-06-16
70,2022-06-15
455,2022-10-06
491,2022-10-27
497,2022-10-31
434,2022-10-21
533,2022-11-15
71,2022-07-11
72,2022-07-04
73,2022-07-04
74,2022-07-04
75,2022-06-27
353,2022-08-08
76,2022-08-01
320,2022-08-08
354,2022-08-08
77,2022-08-11
78,2022-05-30
79,2022-05-30
80,2022-05-31
81,2022-05-31
82,2022-05-31
83,2022-06-14
84,2022-06-13
85,2022-06-14
86,2022-06-14
87,2022-06-14
88,2022-06-08
89,2022-06-07
91,2022-06-07
92,2022-06-02
93,2022-06-09
94,2022-06-08
95,2022-06-09
96,2022-06-08
97,2022-06-08
98,2022-05-31
90,2022-06-07
99,2022-06-02
100,2022-06-01
101,2022-06-01
102,2022-06-02
104,2022-06-09
105,2022-06-13
106,2022-06-13
107,2022-06-13
251,2022-07-12
252,2022-07-07
253,2022-07-07
254,2022-07-14
255,2022-07-26
256,2022-07-14
257,2022-07-14
258,2022-07-26
259,2022-07-13
260,2022-07-13
261,2022-07-14
262,2022-07-13
263,2022-07-11
264,2022-07-12
265,2022-07-27
338,2022-08-10
266,2022-07-27
340,2022-08-10
267,2022-07-27
334,2022-08-11
337,2022-08-11
427,2022-10-06
341,2022-08-11
426,2022-09-29
424,2022-09-26
421,2022-09-23
432,2022-09-15
420,2022-09-20
425,2022-09-27
524,2022-11-17
520,2022-11-21
506,2022-11-24
507,2022-11-23
525,2022-11-21
409,2022-09-14
417,2022-09-07
417,2022-09-08
416,2022-09-13
413,2022-09-08
413,2022-09-09
412,2022-09-07
487,2022-11-03
504,2022-10-26
486,2022-11-02
494,2022-11-02
505,2022-10-26
488,2022-10-27
499,2022-11-01
498,2022-10-28
541,2022-11-03
540,2022-11-04
268,2022-06-27
269,2022-06-10
270,2022-06-27
271,2022-06-16
272,2022-06-16
273,2022-08-01
274,2022-07-25
274,2022-08-01
275,2022-07-25
276,2022-07-25
277,2022-07-25
278,2022-06-15
279,2022-06-15
280,2022-06-15
281,2022-06-16
282,2022-06-15
457,2022-10-20
489,2022-10-27
495,2022-10-31
435,2022-10-25
521,2022-11-15
283,2022-07-11
284,2022-07-11
284,2022-07-04
285,2022-07-04
286,2022-07-04
287,2022-06-27
474,2022-08-08
288,2022-08-01
475,2022-08-08
319,2022-08-08
355,2022-08-08
290,2022-05-30
291,2022-05-31
292,2022-05-31
293,2022-05-31
294,2022-06-14
295,2022-06-14
296,2022-06-14
297,2022-06-14
