collectid,spp,sizeclass,count
130,df,<8,0
130,df,<9,0
130,df,<10,0
130,gf,<BH,13
130,gf,<2.5,26
130,gf,<5,2
130,gf,<6,0
130,gf,<7,0
130,gf,<8,0
130,gf,<9,0
130,gf,<10,0
131,rw,<BH,0
131,rw,<2.5,0
131,rw,<5,0
131,rw,<6,2
131,rw,<7,1
131,rw,<8,0
131,rw,<9,0
131,rw,<10,0
131,to,<BH,36
131,to,<2.5,29
131,to,<5,11
131,to,<6,1
131,to,<7,2
131,to,<8,3
131,to,<9,1
131,to,<10,0
131,df,<BH,2
131,df,<2.5,0
131,df,<5,1
131,df,<6,0
131,df,<7,0
131,df,<8,0
131,df,<9,0
131,df,<10,0
131,gf,<BH,3
131,gf,<2.5,8
131,gf,<5,5
131,gf,<6,2
131,gf,<7,0
131,gf,<8,0
131,gf,<9,0
131,gf,<10,0
132,rw,<BH,0
132,rw,<2.5,2
132,rw,<5,1
132,rw,<6,2
132,rw,<7,4
132,rw,<8,2
132,rw,<9,0
132,rw,<10,2
132,to,<BH,16
132,to,<2.5,14
132,to,<5,34
132,to,<6,16
132,to,<7,11
132,to,<8,7
132,to,<9,0
132,to,<10,1
132,df,<BH,3
132,df,<2.5,4
132,df,<5,1
132,df,<6,0
132,df,<7,1
132,df,<8,0
132,df,<9,0
132,df,<10,0
132,gf,<BH,0
132,gf,<2.5,5
132,gf,<5,2
132,gf,<6,0
132,gf,<7,0
132,gf,<8,0
132,gf,<9,0
132,gf,<10,0
132,md,<BH,0
132,md,<2.5,0
132,md,<5,3
132,md,<6,0
132,md,<7,1
132,md,<8,0
132,md,<9,0
132,md,<10,0
484,rw,<BH,0
484,rw,<2.5,4
484,rw,<5,3
484,rw,<6,0
484,rw,<7,0
484,rw,<8,0
484,rw,<9,1
484,rw,<10,0
485,df,<BH,1
485,df,<2.5,3
485,df,<5,0
485,df,<6,0
485,df,<7,1
485,df,<8,0
485,df,<9,2
485,df,<10,2
