stageid,site,treatment,burn,plotnum,transectnum,azimuth,slope,diameter,decayclass,thoushrlen,notes
1,camp8,m,nb,4,1,0,10,14.0,4,10,started recording FBD
1,camp8,m,nb,4,2,120,33,8.3,3,10,
1,camp8,m,b,11,1,0,33,8.3,3,10,crosses skid
1,camp8,m,b,11,1,0,33,12.2,3,10,crosses skid
1,camp8,m,b,11,2,120,21,8.8,3,10,
1,camp8,m,b,11,2,120,21,8.5,3,10,
1,camp8,m,b,11,3,240,0,8.8,3,10,end in denser area
1,camp8,m,b,11,3,240,0,8.9,5,10,end in denser area
1,camp8,m,b,11,3,240,0,7.8,3,10,end in denser area
1,camp8,m,b,11,3,240,0,8.1,3,10,end in denser area
1,camp8,m,b,11,3,240,0,11.1,3,10,end in denser area
1,camp8,m,b,11,3,240,0,12.3,3,10,end in denser area
1,camp8,m,b,13,1,0,27,8.3,3,10,plot edge of flag boundary
1,camp8,m,b,17,3,240,5,9.2,4,10,
1,camp8,m,b,17,3,240,5,30.0,5,10,
1,camp8,m,b,5,1,0,16,10.9,3,10,"in skid, flat areas heavily skidded"
1,camp8,m,b,5,2,120,27,9.0,3,10,"redwood sprouts at 5 m, crosses skid, flat areas heavily skidded"
1,camp8,m,b,5,2,120,27,13.2,4,10,"redwood sprouts at 5 m, crosses skid, flat areas heavily skidded"
1,camp8,m,b,5,2,120,27,12.8,3,10,"redwood sprouts at 5 m, crosses skid, flat areas heavily skidded"
1,camp8,m,b,6,3,240,28,12.6,5,10,
1,camp8,ls,nb,12,1,0,4,18.6,4,10,across skid with lots of debris
1,camp8,ls,nb,12,1,0,4,16.4,3,10,across skid with lots of debris
1,camp8,ls,nb,12,1,0,4,10.9,4,10,across skid with lots of debris
1,camp8,ls,nb,12,1,0,4,7.0,3,10,across skid with lots of debris
1,camp8,ls,nb,12,1,0,4,8.5,3,10,across skid with lots of debris
1,camp8,ls,nb,12,1,0,4,13.6,4,10,across skid with lots of debris
1,camp8,ls,nb,12,2,120,16,13.8,5,10,
1,camp8,ls,nb,12,2,120,16,11.1,3,10,
1,camp8,ls,nb,12,2,120,16,24.0,4,10,
1,camp8,ls,nb,12,2,120,16,9.5,3,10,
1,camp8,ls,nb,12,2,120,16,26.2,4,10,
1,camp8,ls,nb,12,3,240,24,10.4,3,10,
1,camp8,ls,nb,12,3,240,24,20.0,3,10,
1,camp8,ls,nb,12,3,240,24,16.8,3,10,
1,camp8,ls,nb,12,3,240,24,16.0,3,10,
1,camp8,ls,nb,2,1,0,32,9.5,3,10,
1,camp8,ls,nb,2,1,0,32,8.6,3,10,
1,camp8,ls,nb,2,2,120,35,9.7,2,10,
1,camp8,ls,nb,4,1,0,0,8.6,3,10,
1,camp8,ls,nb,4,1,0,0,46.0,5,10,
1,camp8,ls,nb,4,2,120,42,30.0,4,10,
1,camp8,ls,nb,4,3,240,29,16.5,4,10,
1,camp8,ls,nb,6,1,0,30,41.0,3,10,
1,camp8,ls,nb,6,1,0,30,7.8,3,10,
1,camp8,ls,nb,6,1,0,30,8.3,3,10,
1,camp8,ls,nb,6,2,120,10,8.5,3,10,"along skid edge, in skid at 10 m"
1,camp8,ls,nb,6,3,240,7,18.5,3,10,all in skid
1,camp8,np,b,10,1,0,13,10.2,2,10,
1,camp8,np,b,10,1,0,13,14.0,3,10,
1,camp8,np,b,10,1,0,13,21.0,3,10,
1,camp8,np,b,2,1,0,19,46.0,3,10,
1,camp8,np,b,2,1,0,19,8.0,3,10,
1,camp8,np,b,2,1,0,19,13.5,3,10,
1,camp8,np,b,2,1,0,19,10.2,3,10,
1,camp8,np,b,2,3,240,11,32.0,3,10,
1,camp8,np,b,4,1,0,18,28.0,3,10,
1,camp8,np,b,4,1,0,18,14.0,4,10,
1,camp8,np,b,4,1,0,18,7.8,3,10,
1,camp8,np,b,4,3,240,16,24.0,4,10,
1,camp8,np,b,7,1,0,22,38.0,5,10,
1,camp8,np,b,7,1,0,22,42.0,5,10,
1,camp8,np,b,7,2,120,5,20.0,2,10,
1,camp8,np,b,7,2,120,5,48.0,2,10,
1,camp8,np,b,8,1,0,9,43.0,3,10,
1,camp8,np,b,8,1,0,9,12.0,4,10,
1,camp8,np,b,8,1,0,9,23.0,4,10,
1,camp8,np,b,8,3,240,9,10.0,2,10,
1,camp8,np,b,8,3,240,9,20.0,3,10,
1,camp8,np,b,8,3,240,9,12.9,3,10,
1,camp8,np,nb,10,2,120,15,15.0,4,10,
1,camp8,np,nb,10,3,240,13,11.0,4,10,
1,camp8,np,nb,10,3,240,13,16.0,3,10,
1,camp8,np,nb,11,2,120,2,12.0,3,10,
1,camp8,np,nb,11,3,240,25,49.0,3,10,
1,camp8,np,nb,3,1,0,5,12.0,2,10,
1,camp8,np,nb,3,1,0,5,26.0,1,10,
1,camp8,np,nb,3,1,0,5,16.0,2,10,
1,camp8,np,nb,3,1,0,5,12.0,2,10,
1,camp8,np,nb,8,3,240,8,12.0,4,10,
1,camp8,np,nb,8,3,240,8,22.2,3,10,
1,crib,ls,b,1,1,3,7,10.6,4,10,
1,crib,ls,b,1,1,3,7,58.9,3,10,
1,crib,ls,b,1,1,3,7,11.7,2,10,
1,crib,ls,b,1,3,240,36,12.2,3,10,
1,crib,ls,b,11,1,0,5,17.4,5,10,
1,crib,ls,b,11,2,105,22,18.5,3,10,dead herb sword fern
1,crib,ls,b,11,2,105,22,13.4,2,10,dead herb sword fern
1,crib,ls,b,11,3,240,49,68.0,5,10,
1,crib,ls,b,14,1,343,13,11.4,4,10,"edge of skid at 5 m, in skid at 10 m"
1,crib,ls,b,14,3,240,39,9.4,2,10,
1,crib,ls,b,14,3,240,39,23.0,3,10,
1,crib,ls,b,21,1,0,6,13.6,3,10,"in skid at 5m, in trees at 10m"
1,crib,ls,b,21,1,0,6,22.8,4,10,"in skid at 5m, in trees at 10m"
1,crib,ls,b,21,1,0,6,12.2,3,10,"in skid at 5m, in trees at 10m"
1,crib,ls,b,21,1,0,6,32.2,4,10,"in skid at 5m, in trees at 10m"
1,crib,ls,b,21,2,120,7,12.9,1,10,
1,crib,ls,b,21,2,120,7,25.0,3,10,
1,crib,ls,b,21,2,120,7,16.2,3,10,
1,crib,ls,b,21,3,240,33,36.6,3,10,whole transect in skid
1,crib,ls,b,21,3,240,33,10.6,3,10,whole transect in skid
1,crib,ls,b,23,1,0,4,21.8,3,10,in skid
1,crib,ls,b,23,2,120,41,72.3,3,10,all trees in plot are on/near this transect
1,crib,ls,b,8,1,0,3,18.1,2,10,
1,crib,ls,b,8,1,0,3,19.0,3,10,
1,crib,ls,b,8,2,120,43,11.5,3,10,
1,crib,ls,b,8,2,120,43,13.6,4,10,
1,crib,ls,nb,11,1,0,2,22.0,4,10,
1,crib,ls,nb,11,1,0,2,33.0,3,10,
1,crib,ls,nb,11,1,0,2,40.0,5,10,
1,crib,ls,nb,11,2,120,24,23.5,4,10,sword fern
1,crib,ls,nb,11,2,120,24,44.5,3,10,sword fern
1,crib,ls,nb,11,2,120,24,13.7,3,10,sword fern
1,crib,ls,nb,11,3,234,43,44.0,4,10,
1,crib,ls,nb,11,3,234,43,58.0,4,10,
1,crib,ls,nb,11,3,234,43,22.9,5,10,
1,crib,ls,nb,11,3,234,43,25.0,4,10,
1,crib,ls,nb,2,1,0,42,13.4,3,10,in skid
1,crib,ls,nb,2,1,0,42,41.4,3,10,in skid
1,crib,ls,nb,2,2,120,30,17.8,4,10,
1,crib,ls,nb,2,2,120,30,25.0,3,10,
1,crib,ls,nb,2,2,120,30,11.9,3,10,
1,crib,ls,nb,2,2,120,30,13.6,3,10,
1,crib,ls,nb,2,2,120,30,10.6,3,10,
1,crib,ls,nb,2,2,120,30,30.4,3,10,
1,crib,ls,nb,2,3,240,1,14.2,3,10,
1,crib,ls,nb,2,3,240,1,30.2,3,10,
1,crib,ls,nb,4,1,0,30,24.2,3,10,
1,crib,ls,nb,4,1,0,30,11.1,3,10,
1,crib,ls,nb,4,1,0,30,37.2,3,10,
1,crib,ls,nb,4,2,120,29,22.4,3,10,
1,crib,ls,nb,4,3,240,5,12.6,4,10,
1,crib,ls,nb,8,2,120,26,9.9,3,10,"ferns at 10m, open wide tree spacing"
1,crib,ls,nb,8,3,240,9,23.2,3,10,open wide tree spacing
1,crib,ls,nb,9,1,0,9,20.7,2,10,
1,crib,ls,nb,9,3,240,27,11.6,5,10,litter piled by stump at 10m
1,crib,ls,nb,9,3,240,27,9.5,5,10,litter piled by stump at 10m
1,crib,ls,nb,9,3,240,27,8.6,5,10,litter piled by stump at 10m
1,crib,ls,nb,9,3,240,27,26.2,5,10,litter piled by stump at 10m
1,crib,ls,nb,9,3,240,27,34.2,4,10,litter piled by stump at 10m
1,crib,m,b,10,1,0,39,14.5,4,10,
1,crib,m,b,10,2,120,31,11.3,2,10,in skid
1,crib,m,b,10,2,120,31,18.0,3,10,in skid
1,crib,m,b,10,3,240,2,22.0,4,10,
1,crib,m,b,10,3,240,2,27.4,5,10,
1,crib,m,b,12,1,0,20,10.2,3,10,
1,crib,m,b,12,1,0,20,12.0,3,10,
1,crib,m,b,12,1,0,20,9.4,4,10,
1,crib,m,b,12,1,0,20,48.0,3,10,
1,crib,m,b,12,1,0,20,8.9,4,10,
1,crib,m,b,12,1,0,20,23.4,3,10,
1,crib,m,b,12,1,0,20,10.0,3,10,
1,crib,m,b,12,2,120,21,40.1,3,10,
1,crib,m,b,12,3,240,17,20.0,3,10,
1,crib,m,b,19,1,0,17,18.0,3,10,
1,crib,m,b,19,1,0,17,16.0,3,10,
1,crib,m,b,19,1,0,17,9.4,2,10,
1,crib,m,b,19,2,120,62,14.6,3,10,
1,crib,m,b,19,3,240,30,11.8,3,10,
1,crib,m,b,2,2,120,8,10.3,3,10,
1,crib,m,b,2,3,240,20,33.0,5,10,
1,crib,m,b,4,1,0,47,13.0,5,10,
1,crib,m,b,4,1,0,47,22.0,4,10,
1,crib,m,b,4,1,0,47,26.0,3,10,
1,crib,m,b,4,3,240,39,26.0,5,10,
1,crib,m,nb,1,1,0,21,21.7,3,10,
1,crib,m,nb,1,1,0,21,25.0,3,10,
1,crib,m,nb,1,3,240,15,23.0,3,10,
1,crib,m,nb,1,3,240,15,18.0,3,10,
1,crib,m,nb,10,1,0,7,20.1,3,10,
1,crib,m,nb,10,1,0,7,36.0,3,10,
1,crib,m,nb,10,1,0,7,11.5,4,10,
1,crib,m,nb,10,1,0,7,14.0,4,10,
1,crib,m,nb,10,1,0,7,20.0,4,10,
1,crib,m,nb,10,2,120,19,18.0,3,10,in skid
