stageid,site,treatment,burn,plotnum,spp,sizeclass,count,seedlingradius,saplingradius,notes
1,bob,ls,b,5,to,<2.5,15,5.64,11.28,
1,bob,ls,b,5,to,<5,4,5.64,11.28,
1,bob,ls,b,5,to,<6,1,5.64,11.28,
1,bob,ls,b,5,to,<7,0,5.64,11.28,
1,bob,ls,b,5,to,<8,1,5.64,11.28,
1,bob,ls,b,5,to,<9,0,5.64,11.28,
1,bob,ls,b,5,to,<10,0,5.64,11.28,
1,bob,ls,b,5,df,<BH,8,5.64,11.28,
1,bob,ls,b,5,df,<2.5,5,5.64,11.28,
1,bob,ls,b,5,df,<5,4,5.64,11.28,
1,bob,ls,b,5,df,<6,0,5.64,11.28,
1,bob,ls,b,5,df,<7,1,5.64,11.28,
1,bob,ls,b,5,df,<8,0,5.64,11.28,
1,bob,ls,b,5,df,<9,0,5.64,11.28,
1,bob,ls,b,5,df,<10,1,5.64,11.28,
1,bob,ls,b,5,rw,<BH,0,5.64,11.28,
1,bob,ls,b,5,rw,<2.5,2,5.64,11.28,
1,bob,ls,b,5,rw,<5,0,5.64,11.28,
1,bob,ls,b,5,rw,<6,0,5.64,11.28,
1,bob,ls,b,5,rw,<7,0,5.64,11.28,
1,bob,ls,b,5,rw,<8,0,5.64,11.28,
1,bob,ls,b,5,rw,<9,0,5.64,11.28,
1,bob,ls,b,5,rw,<10,0,5.64,11.28,
1,bob,ls,b,5,gf,<BH,0,5.64,11.28,
1,bob,ls,b,5,gf,<2.5,3,5.64,11.28,
1,bob,ls,b,5,gf,<5,2,5.64,11.28,
1,bob,ls,b,5,gf,<6,2,5.64,11.28,
1,bob,ls,b,5,gf,<7,0,5.64,11.28,
1,bob,ls,b,5,gf,<8,1,5.64,11.28,
1,bob,ls,b,5,gf,<9,1,5.64,11.28,
1,bob,ls,b,5,gf,<10,0,5.64,11.28,
1,bob,ls,nb,12,rw,<BH,3,5.64,11.28,
1,bob,ls,nb,12,rw,<2.5,1,5.64,11.28,
1,bob,ls,nb,12,rw,<5,4,5.64,11.28,
1,bob,ls,nb,12,rw,<6,0,5.64,11.28,
1,bob,ls,nb,12,rw,<7,1,5.64,11.28,
1,bob,ls,nb,12,rw,<8,0,5.64,11.28,
1,bob,ls,nb,12,rw,<9,1,5.64,11.28,
1,bob,ls,nb,12,rw,<10,0,5.64,11.28,
1,bob,ls,nb,12,to,<BH,28,5.64,11.28,
1,bob,ls,nb,12,to,<2.5,95,5.64,11.28,
1,bob,ls,nb,12,to,<5,14,5.64,11.28,
1,bob,ls,nb,12,to,<6,4,5.64,11.28,
1,bob,ls,nb,12,to,<7,0,5.64,11.28,
1,bob,ls,nb,12,to,<8,1,5.64,11.28,
1,bob,ls,nb,12,to,<9,1,5.64,11.28,
1,bob,ls,nb,12,to,<10,3,5.64,11.28,
1,bob,ls,nb,12,df,<BH,24,5.64,11.28,
1,bob,ls,nb,12,df,<2.5,23,5.64,11.28,
1,bob,ls,nb,12,df,<5,2,5.64,11.28,
1,bob,ls,nb,12,df,<6,0,5.64,11.28,
1,bob,ls,nb,12,df,<7,0,5.64,11.28,
1,bob,ls,nb,12,df,<8,0,5.64,11.28,
1,bob,ls,nb,12,df,<9,0,5.64,11.28,
1,bob,ls,nb,12,df,<10,0,5.64,11.28,
1,bob,ls,nb,12,gf,<BH,0,5.64,11.28,
1,bob,ls,nb,12,gf,<2.5,2,5.64,11.28,
1,bob,ls,nb,12,gf,<5,0,5.64,11.28,
1,bob,ls,nb,12,gf,<6,0,5.64,11.28,
1,bob,ls,nb,12,gf,<7,0,5.64,11.28,
1,bob,ls,nb,12,gf,<8,0,5.64,11.28,
1,bob,ls,nb,12,gf,<9,0,5.64,11.28,
1,bob,ls,nb,12,gf,<10,0,5.64,11.28,
1,bob,ls,nb,9,to,<BH,13,5.64,11.28,
1,bob,ls,nb,9,to,<2.5,37,5.64,11.28,
1,bob,ls,nb,9,to,<5,21,5.64,11.28,
1,bob,ls,nb,9,to,<6,14,5.64,11.28,
1,bob,ls,nb,9,to,<7,2,5.64,11.28,
