stageid,site,treatment,burn,plotnum,treeid,distance,azimuth,notes
1,crib,np,b,17,9823,3.7,210,
1,crib,np,b,17,9850,2.6,101,
1,crib,np,b,2,9816,6.9,106,
1,crib,np,b,2,9814,9.2,71,
1,crib,np,b,4,9670,2.12,31,
1,crib,np,b,4,9648,1.98,172,
1,crib,np,nb,1,555,3.17,166,
1,crib,np,nb,1,541,2.27,280,
1,crib,np,nb,12,9847,3.55,166,
1,crib,np,nb,12,9834,1.57,346,
1,crib,np,nb,6,570,1.86,66,
1,crib,np,nb,6,564,2.55,305,
1,crib,np,nb,7,9809,2.21,214,
1,crib,np,nb,7,9815,3.37,12,
1,crib,np,nb,9,814,2.78,109,
1,crib,np,nb,9,804,6.57,278,
1,dun,ls,b,10,9465,7.9,123,
1,dun,ls,b,10,9448,3.7,350,
1,dun,ls,b,17,9497,3.23,142,
1,dun,ls,b,17,9475,2.57,321,
1,dun,ls,b,2,4393,3.5,66,dropped stage 2
1,dun,ls,b,2,9873,7.7,195,dropped stage 2
1,dun,ls,b,20,9849,3.7,258,
1,dun,ls,b,20,9866,0.75,26,
1,dun,ls,b,7,4349,4.6,43,
1,dun,ls,b,7,4337,4.7,268,
1,dun,ls,nb,1,4239,2.3,196,
1,dun,ls,nb,1,4258,7.1,54,
1,dun,ls,nb,10,4186,4.4,274,
1,dun,ls,nb,10,4236,10.2,69,
1,dun,ls,nb,3,4210,9.65,272,
1,dun,ls,nb,3,4217,7.8,44,
1,dun,ls,nb,6,4149,7.9,245,
1,dun,ls,nb,6,4162,4.3,52,
1,dun,ls,nb,8,4273,5.9,80,
1,dun,ls,nb,8,4285,2.2,230,
1,dun,m,b,1,3188,6.0,2,
1,dun,m,b,1,3200,5.5,168,
1,dun,m,b,10,3228,6.5,161,
1,dun,m,b,10,3330,2.9,290,
1,dun,m,b,3,3358,1.3,193,
1,dun,m,b,3,3365,2.5,330,
1,dun,m,b,6,3368,4.9,80,
1,dun,m,b,6,3377,3.3,331,
1,dun,m,b,9,3313,1.4,40,
1,dun,m,b,9,3304,1.7,210,
1,dun,m,nb,1,4133,4.1,261,
1,dun,m,nb,1,4140,5.8,153,
1,dun,m,nb,10,4055,1.33,150,
1,dun,m,nb,10,4033,1.18,275,
1,dun,m,nb,3,4119,3.6,243,
1,dun,m,nb,3,4125,6.7,350,
1,dun,m,nb,6,4105,7.8,343,
1,dun,m,nb,6,4085,10.6,272,
1,dun,m,nb,9,4070,8.1,60,
1,dun,m,nb,9,4059,19.1,260,
1,dun,np,b,1,3091,4.4,242,
1,dun,np,b,1,3103,5.8,129,
1,dun,np,b,11,9907,2.0,147,
1,dun,np,b,11,9787,7.1,278,
1,dun,np,b,4,3082,4.5,67,
1,dun,np,b,4,3070,7.2,221,
1,dun,np,b,5,3060,7.8,342,
1,dun,np,b,5,3064,5.9,90,
1,dun,np,b,7,9785,9.9,180,
1,dun,np,b,7,9771,7.7,265,
1,dun,np,nb,1,9949,4.3,242,
1,dun,np,nb,1,9960,2.3,28,
1,dun,np,nb,10,3035,5.9,347,
1,dun,np,nb,10,3042,3.6,99,
1,dun,np,nb,2,9970,1.5,50,
1,dun,np,nb,2,9977,9.1,170,
1,dun,np,nb,4,3108,2.4,201,
1,dun,np,nb,4,3126,2.2,90,
1,dun,np,nb,8,3150,8.7,96,
1,dun,np,nb,8,3143,3.3,300,
1,fair,ls,b,1,3261,1.68,46,
1,fair,ls,b,1,3251,3.15,207,
1,fair,ls,b,10,,,,
1,fair,ls,b,10,3683,4.61,6,
1,fair,ls,b,10,3672,4.45,222,
1,fair,ls,b,2,3246,2.7,74,
1,fair,ls,b,2,3234,4.4,292,
1,fair,ls,b,9,3223,3.7,84,dropped stage 2; recorded as plot 6 but corrected to plot 9
1,fair,ls,b,9,3205,5.5,191,dropped stage 2; recorded as plot 6 but corrected to plot 9
1,fair,ls,b,8,3669,2.19,164,dropped stage 2
1,fair,ls,b,8,3644,0.69,310,dropped stage 2
1,fair,ls,nb,1,741,1.9,45,
1,fair,ls,nb,1,723,3.0,261,
1,fair,ls,nb,11,9731,4.33,324,
1,fair,ls,nb,11,9747,7.6,150,
1,fair,ls,nb,4,9638,3.1,22,
1,fair,ls,nb,4,9634,6.3,292,
1,fair,ls,nb,5,9252,1.6,321,
1,fair,ls,nb,5,9263,2.67,170,
1,fair,ls,nb,7,9212,5.1,338,
1,fair,ls,nb,7,9222,6.2,143,
1,fair,m,b,10,3526,3.34,326,
1,fair,m,b,10,3540,2.98,141,
1,fair,m,b,3,3594,1.75,315,
1,fair,m,b,3,3610,4.4,89,
1,fair,m,b,4,3570,7.47,284,
1,fair,m,b,4,3585,8.6,177,
1,fair,m,b,6,3625,7.87,61,
1,fair,m,b,6,3612,1.34,206,
1,fair,m,b,7,3557,7.7,93,dropped stage 2
1,fair,m,b,7,3542,2.49,223,dropped stage 2
1,fair,m,nb,1,9616,2.6,335,
1,fair,m,nb,1,9626,7.6,64,
1,fair,m,nb,11,9921,4.4,274,
1,fair,m,nb,11,9931,2.3,37,
1,fair,m,nb,13,3023,6.6,117,
1,fair,m,nb,13,3014,5.1,2,
1,fair,m,nb,3,9726,1.5,211,dropped stage 2
1,fair,m,nb,3,9745,6.6,90,dropped stage 2
1,fair,m,nb,7,3161,5.0,235,
1,fair,m,nb,7,3180,6.5,156,
1,fair,np,b,2,9602,9.3,182,
1,fair,np,b,2,9618,5.48,74,
1,fair,np,b,3,3069,1.77,59,
1,fair,np,b,3,3078,4.01,161,
1,fair,np,b,5,3033,7.1,116,
1,fair,np,b,5,3028,5.1,205,
1,fair,np,b,7,3024,3.3,124,
1,fair,np,b,7,3007,3.1,271,
1,fair,np,b,9,3300,2.69,354,
1,fair,np,b,9,3271,4.31,202,
1,fair,np,nb,1,9572,1.4,307,
1,fair,np,nb,1,9575,8.3,83,
1,fair,np,nb,10,761,4.08,305,
1,fair,np,nb,10,772,7.92,129,
1,fair,np,nb,3,9544,4.32,215,
1,fair,np,nb,3,9557,7.44,113,
1,fair,np,nb,5,9521,3.71,232,
1,fair,np,nb,5,95538,0.63,49,
1,fair,np,nb,7,9519,7.77,172,
1,fair,np,nb,7,9510,1.42,2,
1,hare,ls,b,10,612,3.35,357,
1,hare,ls,b,10,608,9.6,289,
1,hare,ls,b,12,628,1.0,231,
1,hare,ls,b,12,636,1.8,38,
1,hare,ls,b,5,516,10.46,34,
1,hare,ls,b,5,684,7.4,119,
1,hare,ls,b,6,648,4.96,153,
1,hare,ls,b,6,652,2.69,9,
1,hare,ls,nb,10,3501,8.4,182,
1,hare,ls,nb,10,3509,8.8,322,
1,hare,ls,nb,2,2924,0.78,96,dropped stage 2
1,hare,ls,nb,2,3917,10.76,316,dropped stage 2
1,hare,ls,nb,4,3938,4.55,276,
1,hare,ls,nb,4,3956,7.44,157,
1,hare,ls,nb,6,3971,5.6,103,dropped stage 2
1,hare,ls,nb,6,3959,6.34,282,dropped stage 2
1,hare,ls,nb,9,3987,5.0,345,
1,hare,ls,nb,9,3980,8.7,204,
1,hare,m,b,1,962,5.49,136,
1,hare,m,b,1,979,,249,
1,hare,m,b,4,942,4.1,303,
1,hare,m,b,4,935,11.24,136,
1,hare,m,b,5,868,6.61,138,
1,hare,m,b,5,857,1.36,2,
1,hare,m,b,8,901,5.5,171,
1,hare,m,b,8,912,6.9,38,
1,hare,m,b,9,808,4.3,182,
1,hare,m,b,9,827,4.6,112,
1,hare,m,nb,1,3773,0.82,90,
1,hare,m,nb,1,3759,5.4,243,
1,hare,m,nb,10,991,1.15,132,
1,hare,m,nb,10,988,7.1,11,
1,hare,m,nb,3,3739,1.75,287,
1,hare,m,nb,3,3451,5.56,122,
1,hare,m,nb,5,3711,2.7,175,
1,hare,m,nb,5,3701,3.1,20,
1,hare,m,nb,9,3811,2.5,96,
1,hare,m,nb,9,3801,3.4,306,
1,hare,np,b,1,532,1.85,282,
1,hare,np,b,1,521,10.2,182,
1,hare,np,b,3,556,1.63,255,
1,hare,np,b,3,560,1.6,30,
1,hare,np,b,4,593,5.32,331,
1,hare,np,b,4,709,1.7,118,
1,hare,np,b,8,732,3.15,235,
1,hare,np,b,8,737,6.8,349,
1,hare,np,nb,1,3898,2.58,290,
1,hare,np,nb,1,3907,6.3,114,
1,hare,np,nb,11,3793,7.34,66,
1,hare,np,nb,11,3791,6.08,328,
1,hare,np,nb,5,3882,7.7,230,
1,hare,np,nb,5,3888,,82,
1,hare,np,nb,6,3862,2.44,242,
1,hare,np,nb,6,3881,5.2,151,
1,hare,np,nb,8,876,5.86,202,
1,hare,np,nb,8,895,1.76,25,
1,bob,m,b,2,3463,8.5,245,
1,bob,m,b,2,3464,11.0,108,
1,bob,m,nb,2,3289,7.8,203,
1,bob,m,nb,2,3291,2.2,96,
1,bob,np,b,10,3224,1.3,228,
1,bob,np,b,10,3239,4.2,120,
1,camp8,m,nb,2,3287,7.7,185,
1,camp8,m,nb,2,3271,8.6,230,
1,camp8,np,b,6,3423,5.3,358,
1,camp8,np,b,6,3430,6.2,39,
