collectid,plotid,stageid,datasheettype
135,28,1,regen
136,29,1,regen
137,30,1,regen
138,31,1,regen
139,34,1,regen
140,35,1,regen
141,36,1,regen
142,37,1,regen
143,33,1,regen
144,41,1,regen
145,42,1,regen
146,38,1,regen
147,39,1,regen
148,40,1,regen
149,43,1,regen
150,46,1,regen
151,45,1,regen
152,47,1,regen
153,44,1,regen
154,51,1,regen
155,52,1,regen
156,49,1,regen
157,48,1,regen
158,50,1,regen
159,53,1,regen
160,54,1,regen
161,55,1,regen
162,56,1,regen
163,58,1,regen
164,60,1,regen
165,57,1,regen
166,59,1,regen
167,63,1,regen
168,65,1,regen
169,64,1,regen
170,62,1,regen
171,61,1,regen
172,66,1,regen
173,70,1,regen
174,68,1,regen
175,67,1,regen
176,69,1,regen
177,75,1,regen
178,74,1,regen
179,73,1,regen
180,72,1,regen
181,71,1,regen
182,78,1,regen
183,79,1,regen
184,82,1,regen
185,80,1,regen
186,81,1,regen
187,84,1,regen
188,85,1,regen
189,86,1,regen
190,87,1,regen
191,83,1,regen
192,92,1,regen
193,91,1,regen
194,90,1,regen
195,89,1,regen
196,88,1,regen
197,94,1,regen
198,97,1,regen
199,96,1,regen
200,95,1,regen
201,93,1,regen
202,98,1,regen
203,100,1,regen
204,101,1,regen
205,102,1,regen
206,99,1,regen
207,104,1,regen
208,107,1,regen
209,106,1,regen
210,105,1,regen
211,103,1,regen
212,1,1,tree
213,2,1,tree
214,3,1,tree
215,4,1,tree
216,5,1,tree
217,6,1,tree
218,7,1,tree
219,8,1,tree
220,9,1,tree
221,10,1,tree
222,11,1,tree
223,12,1,tree
224,13,1,tree
225,14,1,tree
226,15,1,tree
227,16,1,tree
228,17,1,tree
229,18,1,tree
230,19,1,tree
231,20,1,tree
232,21,1,tree
233,22,1,tree
234,23,1,tree
235,24,1,tree
236,25,1,tree
237,26,1,tree
238,27,1,tree
239,28,1,tree
240,29,1,tree
241,30,1,tree
242,31,1,tree
243,32,1,tree
244,33,1,tree
245,34,1,tree
246,35,1,tree
247,36,1,tree
248,37,1,tree
249,38,1,tree
250,39,1,tree
251,40,1,tree
252,41,1,tree
253,42,1,tree
254,43,1,tree
255,44,1,tree
256,45,1,tree
257,46,1,tree
258,47,1,tree
259,48,1,tree
260,49,1,tree
261,50,1,tree
262,51,1,tree
264,52,1,tree
265,53,1,tree
266,54,1,tree
267,55,1,tree
268,56,1,tree
269,57,1,tree
270,58,1,tree
271,59,1,tree
272,60,1,tree
273,61,1,tree
274,62,1,tree
275,63,1,tree
276,64,1,tree
277,65,1,tree
278,66,1,tree
279,67,1,tree
280,68,1,tree
281,69,1,tree
282,70,1,tree
283,71,1,tree
284,72,1,tree
285,73,1,tree
286,74,1,tree
287,75,1,tree
288,76,1,tree
289,78,1,tree
290,79,1,tree
291,80,1,tree
292,81,1,tree
293,82,1,tree
294,83,1,tree
295,84,1,tree
296,85,1,tree
297,86,1,tree
298,87,1,tree
299,88,1,tree
300,89,1,tree
301,90,1,tree
302,91,1,tree
303,92,1,tree
304,93,1,tree
305,94,1,tree
306,95,1,tree
307,96,1,tree
308,97,1,tree
309,98,1,tree
310,99,1,tree
311,100,1,tree
312,101,1,tree
313,102,1,tree
314,103,1,tree
315,104,1,tree
316,105,1,tree
317,106,1,tree
318,107,1,tree
319,109,1,tree
320,110,1,fuel
321,111,1,fuel
322,112,1,tree
323,113,1,fuel
324,113,1,regen
325,114,1,regen
326,114,1,tree
327,114,1,fuel
328,115,1,regen
329,116,1,regen
330,116,1,tree
331,116,1,fuel
332,117,1,regen
333,118,1,regen
334,119,1,tree
335,120,1,fuel
336,121,1,fuel
337,120,1,tree
338,118,1,tree
339,122,1,fuel
340,117,1,tree
341,121,1,tree
342,118,1,fuel
343,119,1,fuel
344,117,1,fuel
345,115,1,tree
346,115,1,fuel
347,113,1,tree
348,21,1,regen
349,111,1,regen
350,112,1,regen
351,112,1,fuel
352,111,1,tree
353,123,1,fuel
354,109,1,fuel
355,77,1,tree
356,124,1,fuel
357,124,1,tree
358,125,1,tree
359,126,1,regen
360,125,1,fuel
361,127,1,fuel
362,126,1,tree
363,128,1,fuel
364,128,1,tree
365,129,1,fuel
366,129,1,tree
367,130,1,fuel
368,130,1,tree
369,131,1,fuel
370,131,1,tree
371,132,1,fuel
372,133,1,regen
373,130,1,regen
374,134,1,regen
375,131,1,regen
376,132,1,regen
377,132,1,tree
378,127,1,regen
379,135,1,regen
380,128,1,regen
381,136,1,regen
382,129,1,regen
383,134,1,tree
384,134,1,fuel
385,133,1,tree
386,133,1,fuel
387,136,1,tree
388,136,1,fuel
389,135,1,tree
390,135,1,fuel
391,127,1,tree
392,126,1,fuel
393,137,1,fuel
394,138,1,regen
395,124,1,regen
396,137,1,regen
397,125,1,regen
398,137,1,tree
399,138,1,tree
400,138,1,fuel
401,139,1,fuel
402,140,1,fuel
403,141,1,regen
404,142,1,regen
405,143,1,regen
406,144,1,regen
407,140,1,regen
408,139,1,regen
409,140,1,tree
410,142,1,fuel
411,141,1,fuel
412,142,1,tree
413,143,1,tree
414,144,1,fuel
415,143,1,fuel
416,144,1,tree
417,141,1,tree
418,145,1,fuel
419,146,1,fuel
420,145,1,tree
421,146,1,tree
422,147,1,fuel
423,148,1,fuel
424,147,1,tree
425,148,1,tree
426,149,1,tree
427,122,1,tree
428,150,1,fuel
429,151,1,fuel
430,150,1,tree
431,151,1,tree
432,139,1,tree
433,152,1,fuel
434,153,1,fuel
435,153,1,tree
436,152,1,tree
437,154,1,tree
438,154,1,fuel
439,149,1,fuel
440,156,1,regen
441,157,1,regen
442,158,1,regen
443,152,1,regen
444,154,1,regen
445,159,1,regen
446,160,1,regen
447,161,1,regen
448,162,1,regen
449,163,1,regen
450,161,1,fuel
451,163,1,fuel
452,161,1,tree
453,163,1,tree
454,164,1,fuel
455,165,1,fuel
456,164,1,tree
457,165,1,tree
458,156,1,fuel
459,162,1,fuel
460,162,1,tree
461,156,1,tree
462,157,1,tree
463,158,1,tree
464,158,1,fuel
465,157,1,fuel
466,160,1,tree
467,166,1,tree
468,160,1,fuel
469,166,1,fuel
470,159,1,fuel
471,167,1,fuel
472,159,1,tree
473,167,1,tree
474,123,1,tree
475,110,1,tree
476,110,1,regen
477,123,1,regen
478,76,1,regen
479,77,1,regen
480,109,1,regen
481,150,1,regen
482,151,1,regen
